,text,question
29,"Merekar 23 
 
Following that, more features were removed to make the model more interpretable. The top 16 
variables were chosen based on important variables  from the top model from each dataset. These 
were the significant variables that were most common throughout all m odels from all datasets. 
The models were run again, and the results are displayed below:  
 
Full Dataset with Clinically Significant Variables (32,018, 16) 
Algorithm  AUC  Sensitivity (Recall)  
Logistic Regression  0.6284  
 0.44540313  
 
 Stacking, Best of Family  0.6500 
 N/A 
Extreme Gradient Boosting  0.6491 
 0.46050477  
  
Clinically Significant  Variables  
 Analysis of variables included validation with clinicians. They were able to provide 
additional context as to whether or not models included variables that made sense from a 
physiological standpoint. The top 16 variables included in the most interpretable model are 
displayed on the next page.  Table  3. Model Performance: Full Dataset with Clinically Significant Variables and Algorithms.",Explain the process of selecting the top 16 variables for the most interpretable model in the study.
30,"Merekar 24 
 
 Top 16 Clinically Significant Variables with Descriptions  
Variable  Description   
Creatinine  of Recipient  Waste product filtered by kidney; a build -up may lead to 
cardiovascular disease.  
 
 Total Bil irubin  of 
Recipient  Associated with liver complications; a strong predictor in 
heart failure.  
 Ischemic Time  The time an organ has spent cooling/warming before 
transplant.  
 
 Most Recent Creatinine 
Measurement  of Recipient  Most recent evaluation of creatinine levels for a recipient 
at the time of listing.  
Age of Donor  Median Age: 32 years old  
Age of Recipient  Median Age: 55 years old  
PVR  of Recipient  Pulmonary vascular resistance for recipient measured at 
listing.  
Right Ventricular Mass of 
Donor  Both estimates of the myocardial mass of that ventricle 
based on echocardiographic measurements.  
Right Ventricular Mass of 
Recipient   
Systolic Pressure of 
Recipient  Pulmonary artery systolic pressure in mm/Hg at 
registration.  
Predictive Heart Mass 
Ratio  Total heart myocardial mass estimated by echocardiogram 
of donor divided by that of the recipient.  
Albumin Measurement of 
Recipient  Albumin measured in the recipient plasma at registration.  
Distance  Distance between the donor and the recipient  in nautical 
miles.  
Cardiac Output  of 
Recipient  Cardiac output of the recipient at registration.  
Recipient Waiting Days  Total days on the UNOS waiting list.  
GPT Measurement of 
Donor  GPT Level measured at time of transplant.  Table  4. Top 16 Clinically Significant Variables with Descriptions.",Explain the significance of the Ischemic Time variable in the context of organ transplantation.
31,"Merekar 25 
 
Chapter 6: Discussion & Insights  
After analyzing all datasets, it was apparent that advanced methods such as Tree Boosting 
(Extreme Gradient Boosting) and Stacking led to higher AUC’s than the baseline  Logistic 
Regression. This is because Tree Based algorithms are usually more complex. Although they 
may be prone to overfitting, pruning and correctly adjusting the number of trees resolves this 
issue. Logistic Regression is simpler to understand a nd less prone to overfitting, however, may 
not always grant optimal predictive performance.  
Running the Stacking algorithm on the full dataset yielded the highest AUC of about 
0.6810. Although this is significant, Stacking is just a collection of models, a nd cannot be truly 
used for interpretation. This is also why there were no Sensitivity metrics for those models. 
Aside from Stacking, Boosting also gave high results. When applied to the full dataset, the model 
created from this algorithm had an AUC of rou ghly 0.6804. In practice however, it would not be 
feasible for a cardiologist to assess 420 parameters (variables) when trying to understand the 
future of a patient. This brings in the idea of real -world use where models must be interpretable . 
When the ful l dataset was cut down by column, 25 variables remained. These were the most 
important variable s deemed by the Boosting model ran on  the full dataset. All algorithms were 
run on that subset of data and the Stacking algorithm yielded an AUC of 0.6719. The B oosting 
algorithm was very similar in performance, with a 0.6707 AUC. After counting recurring 
variables from all model variable importance plots, analysis was reduced to 16 variables. The 
Stacking algorithm gave an AUC of .6500 and the Boosting algorithm gave an AUC of .6491. 
This would be far more interpretable for clinicians as the parameters were brought down to only 
16 variables. Some performance is lost, but the difference is marginal (Fig. 6).",Explain why Tree Boosting and Stacking algorithms led to higher AUCs compared to Logistic Regression in the analysis of the datasets.
32,"Merekar 26 
 
 
 
 
 
 
 
 
 
 
The prior studies discussed in Chapter 3 did not achieve an AUC greater than 0.66 when 
using advanced learning techniques. Through optimal parameter tuning, the Tree Boosting 
algorithms were able to achieve higher performance. In those studies, however, th e trend was 
leaning towards Deep Learning being a long -term solution in this field. In this study, running the 
Deep Learning algorithm on the full dataset only produced an AUC of 0.5706. This could have 
been again, due to data quality issues as neural netw orks do not perform well on rather sparse 
datasets. Even after cleaning, the data was not suitable to implement an effective Deep Learning 
model.  
 From a clinical standpoint, the aforementioned variables are reasonable to build models 
with going forward. C reatinine levels are often greater in patients that are hospitalized with heart 
failure, which validates this variable as a driver of mortality (Smith et al. 14). Liver function 
abnormalities such as high levels of Total Bilirubin are also associated with higher morality (van 
Deursen et al.). Age of Recipient is a good indicator of mortality; older people generally have 
poorer health. Ischemic time and Age of Donor are also reasonable because these represent 
Figure 6. Visual Depiction of Trade -off Betw een Performance and Interpretability for Boosting Models. 
Average AUC on the Y -Axis corresponds to the average of the Top 2 models from the Full Dataset, Full 
Dataset with Significant Variables, and Full Dataset with Clinically Significant Variables.",Explain why the Deep Learning algorithm did not perform well on the full dataset in this study. What could have been the possible reasons for the low AUC of 0.5706?
33,"Merekar 27 
 
worse organ quality. Multiple studies have deemed  that age is an independent risk factor for 
mortality and argued that longer ischemi c times are associated with higher mortality outcomes 
(Kilic et al.).  
Another point to analyze is the comparisons of the row -wise dataset splits. Comparing the 
LVAD support datasets, it was apparent that there was not much of a difference between 
performance of those top models. The same can be said for time period, but models run on 
observations before 2006 yielded a marginally higher AUC. For Donor/Recipient gender 
combinations, it was found that the dataset containing Female Donors and Female Recipients 
gave an AUC of 0.6770. This exceeded the performance of all other Donor/Recipient gender 
combinations.  
Although the models ran on the row -wise splits did not  perform better than models from 
the full dataset with respect to AUC, they are useful in terms of Sensitivity. Albeit not discussed 
as thoroughly as AUC, it is meaningful to analyze this metric  in clinical decision making because 
in this case, False Negat ive Cases would be costly. The Tree Boosting model for the full dataset 
produced a Sensitivity of about .42. After running that algorithm on the Donor/Recipient gender 
combinations datasets, the average Sensitivity of the four was .463. Comparing those two  
metrics, Sensitivity of Donor/Recipient gender combinations saw an increase in Sensitivity by 
8% on average. This supports the claim that Donor/Recipient gender combinations add value in 
clinical decision making (see Fig. H in Appendix).",How does age contribute as an independent risk factor for mortality according to the information provided?
34,"Merekar 28 
 
Chapter 7: Concl usion  
This project aim ed to leverage Machine Learning techniques to predict one -year 
mortality after a heart transplant. Predictive models were constructed to help clinicians better 
understand underlying patterns in data from Donors and Recipients. This wa y, correct procedures 
for treatment may be taken from a medicinal standpoint. This study was continuously validated 
by clinicians, from Data Preparation to Evaluation. The data was split based on clinical factors 
such as LVAD Support, Donor/Recipient Gende r Combinations, and Time Period of Transplant. 
Finally, specific features were selected based on the clinician’s ability to interpret the created 
models.  
As mentioned previously, performance and interpretability vary inversely. This trade -off 
is important to understand in deployment. From the analysis done in this work, the Extreme 
Gradient Boosting model applied to the full dataset with 25 variables is the optimal one. It serves 
as a “middle -ground” between AUC and number of variables. This model performed  better than 
those from prior studies and uses 25 variables. Although it is not the most interpretable, the 
model will perform similarly when exposed to future, unseen data.  
Essentially, there are two schools of thought. The data scientist wants to optimiz e model 
performance, while the clinicians strive for the simplest model to understand. To that end, from a 
clinical standpoint, the model with 16 variables may be the most optimal. There is a modest 
discrepancy in AUC when compared to the model with 25 var iables, and theoretically, the 
clinician would trade marginal model performance for interpretability. The system needs to be 
fed with new data and using 16 parameters rather than 25 is more convenient, easier to 
track/measure, and simpler to enforce data i ntegrity constraints upon.",Explain the trade-off between model performance and interpretability as mentioned in the document. Why is it important to understand this trade-off in deployment?
35,"Merekar 29 
 
Chapter 8: Implications  
The last phase in the CRISP -DM Framework is Deployment  of a selected model. Rarely, 
creation of the model is not the end of the project as it still needs to be rolled out on a system, 
maintained, and updat ed periodically (Wirth and Hipp 7). It is important to continuously validate 
models built throughout the framework. By doing this, data scientists will be able to gain insight 
on whether or not models fit the context of the problem.  
Although there is a ne ed for the AI in healthcare as highlighted previously, there are a 
few pertinent issues when it comes to deployment and industry -wide adoption of these systems.  
Data Privacy  
 Data is essential for AI and model training, but some patients may be unwilling t o give 
other entities access to private records. Besides for training, a large data supply is needed for 
validation and improvement of these models. For widespread deployment, this sensitive data 
must be shared among numerous institutions. To combat this, these EHR’s must be anonymized 
and patients would need to be fairly informed. The shift to value -based care will support this, and 
further incentivize organizations to collect and ethically maintain this data for analysis (He et al. 
31). 
Data Standardizati on 
 From a data science standpoint, this is an important aspect to consider. Data 
standardization refers to the process of transforming data into a common format to be used for 
analysis. This way, it can be understood regardless of tools and methodologies (He et al. 33). In 
practice, data is collected in many different ways. It is stored in a variety of formats, databases, 
and information systems. Although this data may be formatted a certain way in one organization, 
if it is shared, another organization ma y not be able to properly interpret this for analysis. With",Explain the importance of continuously validating models built throughout the CRISP-DM Framework. How does this help data scientists gain insight into the context of the problem?
36,"Merekar 30 
 
the complexity and volume of healthcare data in particular, this should occur in the initial phases 
of model development, even before the CRISP -DM Framework is carried out.  
Existing Workforce  
 There has been significant concern throughout multiple industries of Artificial 
Intelligence eliminating the need for human workers. Although some jobs have potential to be 
automated, this will likely limit overall job loss. In healthcare, c osts of automation  technologies 
and regulatory and social acceptance are some reasons as to why this may be curbed (Davenport 
and Kalakota 96).  
To overcome these aforementioned challenges, the workforce itself must understand that 
AI is not here to replace it. Inst ead, the workforce will be able to leverage it to augment existing 
workflows and decision making. For an industry -wide implementation, healthcare professionals 
must develop trust for these systems. Similarly, the onus is on patients to trust institutions t o 
handle their data ethically in hopes of improving their own outcomes .",How can the healthcare industry overcome the challenges of AI potentially replacing human workers?
37,"Merekar 31 
 
Chapter 9: Limitations & Future Directions  
 There are a few limitations this research has faced, the first being the time period of the 
queried data. The UNOS Data spans from 1990 -2016 and does not take into account records after 
that. With the increased importance of data collection in the space, i t is reasonable to assume that 
future records will follow specific constraints. This entails that the data will contain less errors, 
yielding a more thorough analysis. The second limitation would be the interpretation of the 
variables in the full dataset. These are generally subjective since there are over 400, so another 
set of clinicians could have understood these variables from a different perspective than in this 
study. Finally, although discussed thoroughly, it was impossible to complete the CRISP -DM 
Framework. The optimal model was limited to simulation and could not  be deployed in a real use 
case.  
 For future studies, researchers will be able to leverage “cleaner” data from UNOS as data 
standards begin to conform. Aside from that, some questions are posed to future data 
scientist/clinician teams that have not been explored in this study:  
Can mortality be predicted independent of time period?  
 This is particularly significant as this project was limited to one -year mortality. If this 
limitation was rem oved, clinicians would be able to understand what may contribute to 
shorter/longer mortality periods.  
How robust will these models be? How will they scale?  
 Models must adapt to rapid change as new data is collected. Another point to examine 
would be identifying how these models would scale. This is useful from a data science 
perspective, and with the emergence of enterprise -wide data and cloud computing, analytic 
solutions (e.g. Random Forest, Tree Boosting ) have potential to scale rather well .",Explain the limitations faced by the research in terms of the time period of the queried data and the interpretation of variables in the full dataset.
38,"Merekar 32 
 
Appendix  
 
 
 
 
 
 
 
 
 
 
Figure A. Detailed Overview of the CRISP -DM Framework. Wirth, Rüdiger, and Jochen Hipp. 
CRISP -DM: Towards a Standard Process Model for Data Mining . p. 6.",What is the title of the document where the CRISP-DM framework is detailed?
39,"Merekar 33 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Figure B. Sigmoidal Function in Logistic Regression. Note, the minimum value is 0 and the 
maximum value is 1. Logistic Regression Theory for Practitioners - Towards Data Science . 
https://towardsdatascience.com/the -data-scientists -field-guide -to-logistic -regression -part-1-
intuition -97084b11bd68 . Accessed 16 Apr. 2020.  
 
 
 
 
 
 
 
Figure C. Sample Artificial Neural Network. Management AI: Types Of Machine Learning Systems . 
https://www.forbes.com/sites /davidteich/2018/07/06/management -ai-types -of-machine -learning -
systems/#390b5ba832fb . Accessed 16 Apr. 2020.",Explain the concept of logistic regression and how it is represented in Figure B.
40,"Merekar 34 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Figure D. Bias -Variance Tradeoff. Bias and Variance in Machine Learning - Data Driven Investor - 
Medium. https://medium.com/datadriveninvestor/bias -and-variance -in-machine -learning -51fdd38d1f86 . 
Accessed 16 Apr. 2020.  
 
 
 
 
 
 
 
 
F",Explain the concept of bias-variance tradeoff in machine learning and how it impacts model performance.
41,"Merekar 35 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
Figure E. ROC Curve from Extreme Gradient Boosting Model Applied to Full Dataset . 
 
 
 
 
 
 
 
 
F 
Figure F. ROC Curve from Extreme Gradient Boosting Model Applied to Full Dataset  with Significant Variables.  
 
 
 
 
 
 
 
 
F 
Figure G. ROC Curve from Extreme Gradient Boosting Model Applied to Full Dataset  with Clinically Significant Variables.",What is the purpose of using an Extreme Gradient Boosting model in this study?
42,"Merekar 36 
 
 
0.4633050280.42567487
0.4 0.41 0.42 0.43 0.44 0.45 0.46 0.47XGBoost Recall Averages Donor/Recipient
Gender CombinationsXGBoost Recall Averages for Full Datasets
(No Row Splits)
SENSITIVITY (RECALL)SENSITIVITY MEASURES FOR TREE 
BOOSTING
Figure H. Sensitivity Comparisons: Full Datasets and Donor/Recipient Gender Combinations.  
 
 
 
 
 
 
 
F",Explain the significance of sensitivity (recall) in the context of tree boosting algorithms.
43,"Merekar 37  
References  
Amornsamankul, Somkid , et al. “A Comparison of Machine Learning Algorithms and Their 
Applications.” International Journal of Simulation: Systems, Science & Technology , Aug. 2019, 
pp. 1 –17. DOI.org (Crossref) , doi: 10.501 3/IJSSST.a.20.04.08 . 
 
Beam, Andrew L., and Isaac S. Kohane. “Big Data and Machine Learning in Health Care.” JAMA , 
vol. 319, no. 13, Apr. 2018, pp. 1317 –18. DOI.org (Crossref) , doi: 10.1001/jama.2017.18391 . 
 
Blagus, Rok, and Lara Lusa. “SMOTE for High -Dimensional Class -Imbalanced Data.” BMC 
Bioinformatics , vol. 14, no. 1, Dec. 2013, pp. 1 –16. DOI.org (Crossref) , doi: 10.1186/1471 -2105 -
14-106. 
 
Bradley, Andrew P. “The Use of the Area under the ROC Curve in the Evaluation of Machine 
Learning Algorithms.” Pattern Recognition , vol. 30, no. 7, July 1997, pp. 1145 –59. DOI.org 
(Crossref) , doi: 10.1016/S0031 -3203(96)00142 -2. 
 
Briscoe, Erica, and Jacob Feldman. “Conceptual Complexity and the Bias/Variance Tradeoff.” 
Cognition , vol. 118, no. 1, Jan. 2011, pp. 2 –16. DOI.org (Crossref) , 
doi:10.1016/j.cognition.2010.10.004 . 
 
Burrill, Steve. “Health Care Outlook for 2019: Five Trends That Could Impact Health Plans, 
Hospitals, and Patients.” Deloitte United States .","Explain the significance of the Area under the ROC Curve in evaluating machine learning algorithms, as discussed in Bradley's 1997 paper."
44,"Bradley, Andrew P. “The Use of the Area under the ROC Curve in the Evaluation of Machine 
Learning Algorithms.” Pattern Recognition , vol. 30, no. 7, July 1997, pp. 1145 –59. DOI.org 
(Crossref) , doi: 10.1016/S0031 -3203(96)00142 -2. 
 
Briscoe, Erica, and Jacob Feldman. “Conceptual Complexity and the Bias/Variance Tradeoff.” 
Cognition , vol. 118, no. 1, Jan. 2011, pp. 2 –16. DOI.org (Crossref) , 
doi:10.1016/j.cognition.2010.10.004 . 
 
Burrill, Steve. “Health Care Outlook for 2019: Five Trends That Could Impact Health Plans, 
Hospitals, and Patients.” Deloitte United States . www2.deloitte.com , 
https://www2.deloitte.com/us/en/pages/life -sciences -and-health -care/articles/health -care-current -
december4 -2018.html . Accessed 2 Mar. 2020.  
 
Chen, Tianqi, and Carlo s Guestrin. “XGBoost: A Scalable Tree Boosting System.” Proceedings of the 
22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining - 
KDD ’16 , 2016, pp. 785 –94. arXiv.org , doi: 10.1145/2939672.2939785 . 
 
Collier, Matt, et al. Artificial Intelligence: Healthcare’s New Nervous System . Industry Outlook 
Report, Accenture, pp. 1 –8. 
 
D, Shashank, et al. “The Internet of Medical Things (IoMT).” Journal of Pharmaceutical Research , 
vol. 16, no. 4, Dec. 2017, p. 290.  
 
Dag, Ali, et al. “Predicting Heart Transplantation Outcomes through Data Analytics.” Decision 
Support Systems , vol. 94, Nov. 2016, pp. 42 –52.",Explain the significance of the Area under the ROC Curve in evaluating machine learning algorithms based on the information provided.
45,"785 –94. arXiv.org , doi: 10.1145/2939672.2939785 . 
 
Collier, Matt, et al. Artificial Intelligence: Healthcare’s New Nervous System . Industry Outlook 
Report, Accenture, pp. 1 –8. 
 
D, Shashank, et al. “The Internet of Medical Things (IoMT).” Journal of Pharmaceutical Research , 
vol. 16, no. 4, Dec. 2017, p. 290.  
 
Dag, Ali, et al. “Predicting Heart Transplantation Outcomes through Data Analytics.” Decision 
Support Systems , vol. 94, Nov. 2016, pp. 42 –52. DOI.org (Crossref) , 
doi:10.1016/j.dss.2016.10.005 . 
 
Davenport, Thomas, and Ravi Kalakota. “The Potential for Artificial Intelligence in Healthcare.” 
Future Healthcare Journal , vol. 6, 2019, pp. 94 –98. 
 
Fan, Jerome, et al. “Understanding Receiver Opera ting Characteristic (ROC) Curves.” CJEM , vol. 8, 
no. 01, Jan. 2006, pp. 19 –20. DOI.org (Crossref) , doi: 10.1017/S1481803500013336 .","Explain the concept of the Internet of Medical Things (IoMT) and its significance in the healthcare industry based on the article by D, Shashank, et al."
46,"Merekar 38  
Gedela, Maheedhar, et al. A Brief Review of Left Ventricular Assist Devices and Their Management . 
pp. 19 -26. 
 
He, Jianxing, et al. “The Practical Implementation of Artificial Intelligence Technologies in 
Medicine.” Nature Medicine , vol. 25, no. 1, Jan. 2019, pp. 30 –36. DOI.org (Crossref) , 
doi:10.1038/s41591 -018-0307 -0. 
 
Heart Failure | National Heart, Lung, and Blood Institute (NHLBI) . 
https ://www.nhlbi.nih.gov/health -topics/heart -failure. Accessed 1 Mar. 2020 . 
 
Heart Transplant | National Heart, Lung, and Blood Institute (NHLBI) . 
https://www.nhlbi.nih.gov/health -topics/ heart -transplant . Accessed 1 Mar. 2020.  
 
Hong, Kimberly N., et al. “Who Is the High -Risk Recipient? Predicting Mortality After Heart 
Transplant Using Pretransplant Donor and Recipient Risk Factors.” The Annals of Thoracic 
Surgery , vol. 92, no. 2, Aug. 2011 , pp. 520 –27. DOI.org (Crossref) , 
doi:10.1016/j.athoracsur.2011.02.086 . 
 
Iyer, Arjun, et al. “Primary Graft Failure after Heart Transplantation.” Journal of Transplantation , 
vol. 2011, 2011, pp. 1 –9. DOI.org (Crossref) , doi: 10.1155/2011/175768 . 
 
James, Gareth, et al. An Introduction to Statistical Learning . Springer New York, 2013. DOI.org 
(Crossref) , doi: 10.1007/978 -1-4614 -7138 -7. 
 
Jiang, Fei, et al. “Artificial Intelligence in Healthcare: Past, Present and Future.” Stroke and Vascular 
Neurology , vol. 2, no. 4, Dec.","Explain the practical implementation of artificial intelligence technologies in medicine as discussed in the article by He, Jianxing, et al."
47,"DOI.org (Crossref) , 
doi:10.1016/j.athoracsur.2011.02.086 . 
 
Iyer, Arjun, et al. “Primary Graft Failure after Heart Transplantation.” Journal of Transplantation , 
vol. 2011, 2011, pp. 1 –9. DOI.org (Crossref) , doi: 10.1155/2011/175768 . 
 
James, Gareth, et al. An Introduction to Statistical Learning . Springer New York, 2013. DOI.org 
(Crossref) , doi: 10.1007/978 -1-4614 -7138 -7. 
 
Jiang, Fei, et al. “Artificial Intelligence in Healthcare: Past, Present and Future.” Stroke and Vascular 
Neurology , vol. 2, no. 4, Dec. 2017, pp. 230 –43. DOI.org (Crossref) , doi: 10.1136/svn -2017 -
000101 . 
 
Johnston, Stephen S., et al. “Using Machine Learning Applied to Real -World Healthcare Data for 
Predictive Analytics: An Applied Example in Bariatric Surgery.” Value in Health , vol. 22, no. 5, 
May 2019, pp. 580 –86. DOI.org (Crossref) , doi: 10.1016/j.jval.2019.01.011 . 
 
Kilic, Ahmet, et al. “Donor Selection in Heart Transplantation.” Journal of Thoracic Disease , vol. 6, 
no. 8, 2014, pp. 1097 –104. 
 
Medved, Dennis, et al. “Improving Prediction of Heart Transplantation Outcome Using Deep 
Learning Techniques.” Scientific Reports , vol. 8, no. 1, Feb. 2018, pp. 1 –9. DOI.org (Crossref) , 
doi:10.1038/s41598 -018-21417 -7. 
 
Miller, P. Elliott, et al.",Explain the concept of primary graft failure after heart transplantation as discussed in the article by Iyer et al. What are some factors that may contribute to this phenomenon?
48,"22, no. 5, 
May 2019, pp. 580 –86. DOI.org (Crossref) , doi: 10.1016/j.jval.2019.01.011 . 
 
Kilic, Ahmet, et al. “Donor Selection in Heart Transplantation.” Journal of Thoracic Disease , vol. 6, 
no. 8, 2014, pp. 1097 –104. 
 
Medved, Dennis, et al. “Improving Prediction of Heart Transplantation Outcome Using Deep 
Learning Techniques.” Scientific Reports , vol. 8, no. 1, Feb. 2018, pp. 1 –9. DOI.org (Crossref) , 
doi:10.1038/s41598 -018-21417 -7. 
 
Miller, P. Elliott, et al. “Predictive Abilities of Machine Learning Techniques May Be Limited by 
Dataset Characteristics: Insights From the UNOS Database.” Journal of Cardiac Failure , vol. 
25, no. 6, June 2019 , pp. 479 –83. DOI.org (Crossref) , doi: 10.1016/j.cardfail.2019.01.018 . 
 
Mitchell, Rory, and Eibe Frank. “Accelerating the XGBoost  Algorithm Using GPU Computing.” 
PeerJ Computer Science , vol. 3, July 2017, pp. 1 –28. DOI.org (Crossref) , doi: 10.7717/peerj -
cs.127 .",What is the main focus of the study 'Improving Prediction of Heart Transplantation Outcome Using Deep Learning Techniques' by Medved et al.?
49,"Merekar 39  
NEJM Catalyst. “What Is Value -Based Healthcare?” Catalyst Carryover , vol. 3, no. 1, Massachusetts 
Medical Society, Jan. 2017. catalyst.nejm.org (Atypon) , doi: 10.1056/CAT.17.0558 . 
 
Parreco, Joshua, and Matthew Chatoor. Comparing Machine Learning Algorithms for Predicting 
Acute Kidney Injury . no. 7, July 2019, pp. 725 –29. 
 
Rodriguez, J. D., et al. “Sensitivity Analysis of K -Fold Cross Validation in Prediction Error 
Estimation.” IEEE Transactions on Pattern Analysis and Machine Intelligence , vol. 32, no. 3, 
Mar. 2010, pp. 569 –75. DOI.org (Crossref) , doi: 10.1109/TPAMI.2009.187 . 
 
Roski, Joachim, et al. “Creating Value In Health Care Through Big Data: Opportunities And Policy 
Implications.” Health Affairs , vol. 33, no. 7, July 2 014, pp. 1115 –22. DOI.org (Crossref) , 
doi:10.1377/hlthaff.2014.0147 . 
 
Sakkis, Georgios, et al. Stacking Classifiers for Anti -Spam Filtering of e -Mail . 2001, pp. 1 –7. 
 
Sarle, Warren S. Neural Network s and Statistical Models . Apr. 1994, pp. 1 –12. 
 
Sherman, Rick. Business Intelligence Guidebook: From Data Integration to Analytics . Elsevier, 
Morgan Kaufmann, 2015.  
 
Smith, Grace L., et al. “Worsening Renal Function: What Is a Clinically Meaningful Change in 
Creatinine during Hospitalization with Heart Failure?” Journal of Cardiac Failure , vol. 9, no. 1, 
Feb. 2003, pp. 13 –25. DOI.org (Crossref) , doi: 10.1054/jcaf.2003.3 .",Explain the concept of value-based healthcare as discussed in the NEJM Catalyst article. How does it relate to improving healthcare outcomes?
50,"Sakkis, Georgios, et al. Stacking Classifiers for Anti -Spam Filtering of e -Mail . 2001, pp. 1 –7. 
 
Sarle, Warren S. Neural Network s and Statistical Models . Apr. 1994, pp. 1 –12. 
 
Sherman, Rick. Business Intelligence Guidebook: From Data Integration to Analytics . Elsevier, 
Morgan Kaufmann, 2015.  
 
Smith, Grace L., et al. “Worsening Renal Function: What Is a Clinically Meaningful Change in 
Creatinine during Hospitalization with Heart Failure?” Journal of Cardiac Failure , vol. 9, no. 1, 
Feb. 2003, pp. 13 –25. DOI.org (Crossref) , doi: 10.1054/jcaf.2003.3 . 
 
Srivastava, Siddharth, et al. “Deep Learning for Health Informatics: Recent Trends and Future 
Directions.” 2017 International Conference on Advances in Computing, Communications and 
Informatics (ICACCI ), IEEE, 2017, pp. 1665 –70. DOI.org (Crossref) , 
doi:10.1109/ICACCI.2017.8126082 . 
 
United Network for Organ Sharing | UNOS | US Organ Transplantation . https://unos .org/. Accessed 
1 Mar. 2020.  
 
van Deursen, V. M., et al. “Abnormal Liver Function in Relation to Hemodynamic Profile in Heart 
Failure Patients.” Journal of Cardiac Failure , vol. 16, no. 1, Jan. 2010, pp. 84 –90. DOI.org 
(Crossref) , doi: 10.1016/j.cardfail.2009.08.002 . 
 
Wirth, Rüdiger, and Jochen Hipp. CRISP -DM: Towards a Standard Process Model for Data Mining . 
pp. 1 –10.","Based on the study by Smith et al., what is considered a clinically meaningful change in creatinine levels during hospitalization with heart failure?"
51,"City Univ ersity of New Y ork (CUN Y) City Univ ersity of New Y ork (CUN Y) 
CUN Y Academic W orks CUN Y Academic W orks 
Student Theses Baruch College 
Spring 5-18-2020 
Emer ging T echnologies in Healthcar e: Analysis of UNOS Data Emer ging T echnologies in Healthcar e: Analysis of UNOS Data 
Through Machine Learning Through Machine Learning 
Reyhan Mer ekar 
CUN Y Bernar d M Baruch College 
How does access t o this work benefit y ou? Let us know! 
More information about this work at: https:/ /academicworks.cuny .edu/bb_etds/100 
Disco ver additional works at: https:/ /academicworks.cuny .edu 
This work is made publicly a vailable b y the City Univ ersity of New Y ork (CUN Y). 
Contact: AcademicW orks@cuny .edu",How can individuals benefit from accessing the work mentioned in the document?
52,"Emerging Technologies in Healthcare : Analysis of UNOS Data Through Machine Learning  
 
 
by 
 
 
Reyhan Merekar  
 
 
Submitted to the Committee on Undergraduate Honors at Baruch College of the City University 
of New York in partial fulfillment of the requirements for the degree of Bachelor of Business 
Administration in Computer Information Systems with Honors  
 
 
April 27 th, 2020",What degree is Reyhan Merekar pursuing at Baruch College of the City University of New York?
53,"Table of Contents  
 
Acknowledgements  ................................ ................................ ................................ ........................  i 
Abstract  ................................ ................................ ................................ ................................ ..........  ii 
Chapter 1: Introduction  ................................ ................................ ................................ ...............  1 
Chapter 2: Background & Additional Context  ................................ ................................ ..........  3 
Moving to Performance Based Medicine  ................................ ................................ ..............................  3 
Virtual Visits and Wearables  ................................ ................................ ................................ .................  4 
Leveraging Artificial Intelligence  ................................ ................................ ................................ ..........  4 
Emergence of Big Data in Healthcare  ................................ ................................ ................................ ... 5 
Chapter 3: Related Work  ................................ ................................ ................................ .............  7 
Chapter 4: Data & Methodology  ................................ ................................ ...............................  10 
Busi ness Understanding  ................................ ................................ ................................ ........................  11 
Data Understanding  ................................ ................................ ................................ ..............................  11 
Data Preparation  ................................ ................................ ................................ ................................ ... 11 
Model Building  ................................ ................................ ................................ ................................ ...... 12 
Discussion of Rele vant Algorithms  ................................ ................................ ................................ ....................  13 
Resampling Methods  ................................ ................................ ................................ ................................ ..........  17 
Model Evaluation  ................................ ................................ ................................ ................................ .. 18 
Key Metric: Area  Under the Receiver Operating Characteristic Curve (AUC)  ................................ .................  20 
Variable Analysis  ................................ ................................ ................................ ................................ ...............  20 
Chapter 5: Results ................................ ................................ ................................ .......................  21 
Clinically Validated Variables  ................................ ................................ ................................ .............  23 
Chapter 6: Discussion & Insights  ................................ ................................ ..............................  25 
Chapter 7: Conclusion  ................................ ................................ ................................ ................  28 
Chapter 8: Implications  ................................ ................................ ................................ ..............  29 
Data Priva cy ................................ ................................ ................................ ................................ ...........  29 
Data Standardization  ................................ ................................ ................................ ............................  29 
Existing Workforce  ................................ ................................ ................................ ...............................  30 
Chapter 9: Lim itations & Future Directions ................................ ................................ ............  31 
Can mortality be predicted independent of time period?  ................................ ................................ .. 31 
How robust will these models be? How will they scale?  ................................ ................................ .... 31 
Appendix  ................................ ................................ ................................ ................................ ...... 32 
References  ................................ ................................ ................................ ................................ .... 37",Discuss the resampling methods mentioned in the document and how they are used in model evaluation.
